question_id,question,optimized_query,rank,doc_id,rerank_score,distance,chunking_method,chunk_format,source_file,page,parent_title,document_type,table_id,table_kind,row_index,text_chars,looks_tabular,text_preview
1,Quel est le taux de la prime de rendement pour les personnels de soutien à la recherche ?,Taux légal de la prime de rendement pour les agents de soutien à la recherche en Algérie,1,F2012007.txt_regex_doc_9_art_2,0.9990234375,0.7451643943786621,regex,article,F2012007.txt,21,Décret exécutif n° 12-22 du 23 Safar 1433 correspondant au 17 janvier 2012 instituant le régime indemnitaire des fonctionnaires appartenant aux corps des personnels de soutien à la recherche.,Décret,,,,547,False,"Source: Décret exécutif n° 12-22 du 23 Safar 1433 correspondant au 17 janvier 2012 instituant le régime indemnitaire des fonctionnaires appartenant aux corps des personnels de soutien à la recherche. Contenu: Art. 3. — La prime de rendement, calculée au taux variable de zéro (0) à trente pour cent (30%) du traitement, est servie, trimestriellement, aux fonctionnaires cités à l'article 2 ci-dessus. Le service de la prime de rendement est soumis à une notation selon des critères fixés par arrêté du ministre chargé de la recherche scientifique."
1,Quel est le taux de la prime de rendement pour les personnels de soutien à la recherche ?,Taux légal de la prime de rendement pour les agents de soutien à la recherche en Algérie,2,F2010010.txt_regex_doc_21_art_1,0.1748046875,0.8842454552650452,regex,article,F2010010.txt,131,"Décret exécutif n° 10-60 du 9 Safar 1431 correspondant au 25 janvier 2010 portant répartition des crédits ouverts, au titre du budget de fonctionnement, par la loi de finances pour 2010, au ministre de l'enseignement supérieur et de la recherche scientifique.",Décret,,,,14934,True,"Source: Décret exécutif n° 10-60 du 9 Safar 1431 correspondant au 25 janvier 2010 portant répartition des crédits ouverts, au titre du budget de fonctionnement, par la loi de finances pour 2010, au ministre de l'enseignement supérieur et de la recherche scientifique. Contenu: Art. 2. — Le ministre des finances et le ministre de l'enseignement supérieur et de la recherche scientifique sont chargés, chacun en ce qui le concerne, de l'exécution du présent décret qui sera publié au Journal officiel de la République algérienne démocratique et populaire. Fait à Alger, le 9 Safar 1431 correspondant au 25 janvier 2010. Ahmed OUYAHIA. Nos DES CHAPITRES LIBELLES CREDITS OUVERTS EN DA SECTION I ADMINIS"
1,Quel est le taux de la prime de rendement pour les personnels de soutien à la recherche ?,Taux légal de la prime de rendement pour les agents de soutien à la recherche en Algérie,3,F2009008.txt_regex_doc_21_art_1,0.1541748046875,0.8913276195526123,regex,article,F2009008.txt,128,"Décret exécutif 09-48 du 29 Moharram 1430 correspondant au 26 janvier 2009 portant répartition des crédits ouverts, au titre du budget de fonctionnement, par la loi de finances pour 2009, au ministre de l'enseignement supérieur et de la recherche scientifique.",Décret,,,,15497,True,"Source: Décret exécutif 09-48 du 29 Moharram 1430 correspondant au 26 janvier 2009 portant répartition des crédits ouverts, au titre du budget de fonctionnement, par la loi de finances pour 2009, au ministre de l'enseignement supérieur et de la recherche scientifique. Contenu: Art. 2. — Le ministre des finances et le ministre de l'enseignement supérieur et de la recherche scientifique sont chargés, chacun en ce qui le concerne, de l'exécution du présent décret qui sera publié au Journal officiel de la République algérienne démocratique et populaire. Fait à Alger, le 29 Moharram 1430 correspondant au 26 janvier 2009. Ahmed OUYAHIA. Nos DES CHAPITRES LIBELLES CREDITS OUVERTS EN DA SECTION I AD"
1,Quel est le taux de la prime de rendement pour les personnels de soutien à la recherche ?,Taux légal de la prime de rendement pour les agents de soutien à la recherche en Algérie,4,F2007009.txt_regex_doc_21_art_1,0.07720947265625,0.8506949543952942,regex,article,F2007009.txt,126,"Décret exécutif n° 07-45 du 11 Moharram 1428 correspondant au 30 janvier 2007 portant répartition des crédits ouverts, au titre du budget de fonctionnement, par la loi de finances pour 2007, au ministre de l'enseignement supérieur et de la recherche scientifique.",Décret,,,,9348,True,"Source: Décret exécutif n° 07-45 du 11 Moharram 1428 correspondant au 30 janvier 2007 portant répartition des crédits ouverts, au titre du budget de fonctionnement, par la loi de finances pour 2007, au ministre de l'enseignement supérieur et de la recherche scientifique. Contenu: Art. 2. — Le ministre des finances et le ministre de l'enseignement supérieur et de la recherche scientifique sont chargés, chacun en ce qui le concerne, de l'exécution du présent décret qui sera publié au Journal officiel de la République algérienne démocratique et populaire. Fait à Alger, le 11 Moharram 1428 correspondant au 30 janvier 2007. Abdelaziz BELKHADEM. Nos DES CHAPITRES LIBELLES CREDITS OUVERTS EN DA SEC"
1,Quel est le taux de la prime de rendement pour les personnels de soutien à la recherche ?,Taux légal de la prime de rendement pour les agents de soutien à la recherche en Algérie,5,F2012007.txt_regex_doc_9_art_15,0.06878662109375,0.8752081990242004,regex,article,F2012007.txt,21,Décret exécutif n° 12-22 du 23 Safar 1433 correspondant au 17 janvier 2012 instituant le régime indemnitaire des fonctionnaires appartenant aux corps des personnels de soutien à la recherche.,Décret,,,,497,False,"Source: Décret exécutif n° 12-22 du 23 Safar 1433 correspondant au 17 janvier 2012 instituant le régime indemnitaire des fonctionnaires appartenant aux corps des personnels de soutien à la recherche. Contenu: Art. 16. — Le présent décret sera publié au Journal officiel de la République algérienne démocratique et populaire. Fait à Alger, le 23 Safar 1433 correspondant au 17 janvier 2012. Ahmed OUYAHIA. 23 JOURNAL OFFICIEL DE LA REPUBLIQUE ALGERIENNE N° 07 21 Rabie El Aouel 1433 14 février 2012"
2,Quel est le montant de l'indemnité de documentation pour un ingénieur de recherche conseil ?,Montant de l'indemnité de documentation pour un ingénieur de recherche-conseil en Algérie,1,F2012007.txt_regex_doc_9_art_6,0.75439453125,0.746445894241333,regex,article,F2012007.txt,21,Décret exécutif n° 12-22 du 23 Safar 1433 correspondant au 17 janvier 2012 instituant le régime indemnitaire des fonctionnaires appartenant aux corps des personnels de soutien à la recherche.,Décret,,,,549,True,"Source: Décret exécutif n° 12-22 du 23 Safar 1433 correspondant au 17 janvier 2012 instituant le régime indemnitaire des fonctionnaires appartenant aux corps des personnels de soutien à la recherche. Contenu: Art. 7. — L'indemnité de documentation est servie, mensuellement, aux fonctionnaires appartenant à la filière de développement technologique, en montants forfaitaires figurant au tableau ci-après : | CORPS | GRADES | |---|---| | Ingénieurs de recherche | Ingénieur de recherche expert Ingénieur de recherche conseil Ingénieur de recherche |"
2,Quel est le montant de l'indemnité de documentation pour un ingénieur de recherche conseil ?,Montant de l'indemnité de documentation pour un ingénieur de recherche-conseil en Algérie,2,F2012007_p22_t1_full,0.6005859375,0.7087628841400146,table_full,full_table_markdown,F2012007.pdf,22,,,F2012007_p22_t1,generic_table,,379,True,"Source: F2012007.pdf Page: 22 Tableau: Art. 7. — L'indemnité de documentation est servie, mensuellement, aux fonctionnaires appartenant à la filière de développement technologique, en montants forfaitaires figurant au tableau ci-après : | CORPS | GRADES | |---|---| | Ingénieurs de recherche | Ingénieur de recherche expert Ingénieur de recherche conseil Ingénieur de recherche |"
2,Quel est le montant de l'indemnité de documentation pour un ingénieur de recherche conseil ?,Montant de l'indemnité de documentation pour un ingénieur de recherche-conseil en Algérie,3,F2012007_p22_t1_row_1,0.59814453125,0.7057526707649231,table_row,table_row,F2012007.pdf,22,,,F2012007_p22_t1,generic_table,1,368,True,"Source: F2012007.pdf Page: 22 Tableau: Art. 7. — L'indemnité de documentation est servie, mensuellement, aux fonctionnaires appartenant à la filière de développement technologique, en montants forfaitaires figurant au tableau ci-après : Ligne: 1 CORPS: Ingénieurs de recherche GRADES: Ingénieur de recherche expert Ingénieur de recherche conseil Ingénieur de recherche"
2,Quel est le montant de l'indemnité de documentation pour un ingénieur de recherche conseil ?,Montant de l'indemnité de documentation pour un ingénieur de recherche-conseil en Algérie,4,F2025004.txt_regex_doc_1_art_7,0.059112548828125,0.832649827003479,regex,article,F2025004.txt,44,Décret exécutif n° 25-55 du 21 Rajab 1446 correspondant au 21 janvier 2025 instituant le régime indemnitaire des fonctionnaires appartenant aux corps spécifiques de l'éducation nationale.,Décret,,,,587,False,"Source: Décret exécutif n° 25-55 du 21 Rajab 1446 correspondant au 21 janvier 2025 instituant le régime indemnitaire des fonctionnaires appartenant aux corps spécifiques de l'éducation nationale. Contenu: Art. 8. — L'indemnité de documentation pédagogique est servie mensuellement aux personnels cités aux articles 3 et 4 ci-dessus, en montants forfaitaires fixés comme suit : • 2.000 DA pour les fonctionnaires classés aux catégories 10 et moins ; • 2.500 DA pour les fonctionnaires classés aux catégories 11 et 12 ; • 3.000 DA pour les fonctionnaires classés aux catégories 13 et plus."
2,Quel est le montant de l'indemnité de documentation pour un ingénieur de recherche conseil ?,Montant de l'indemnité de documentation pour un ingénieur de recherche-conseil en Algérie,5,F2009008.txt_regex_doc_21_art_1,0.0297088623046875,0.8126950860023499,regex,article,F2009008.txt,128,"Décret exécutif 09-48 du 29 Moharram 1430 correspondant au 26 janvier 2009 portant répartition des crédits ouverts, au titre du budget de fonctionnement, par la loi de finances pour 2009, au ministre de l'enseignement supérieur et de la recherche scientifique.",Décret,,,,15497,True,"Source: Décret exécutif 09-48 du 29 Moharram 1430 correspondant au 26 janvier 2009 portant répartition des crédits ouverts, au titre du budget de fonctionnement, par la loi de finances pour 2009, au ministre de l'enseignement supérieur et de la recherche scientifique. Contenu: Art. 2. — Le ministre des finances et le ministre de l'enseignement supérieur et de la recherche scientifique sont chargés, chacun en ce qui le concerne, de l'exécution du présent décret qui sera publié au Journal officiel de la République algérienne démocratique et populaire. Fait à Alger, le 29 Moharram 1430 correspondant au 26 janvier 2009. Ahmed OUYAHIA. Nos DES CHAPITRES LIBELLES CREDITS OUVERTS EN DA SECTION I AD"
